W,Ta,Mo,Nb,Zr,Ti,Comp_point,Unit [at% or wt%],VEC,Delta_pct,H_mix_kJ_mol
0.0,0.0,0.0,0.0,0.0,100.0,1,at%,4.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,90.0,2,at%,4.0,2.6298044504383036,-5.2358400000000005
0.0,0.0,0.0,0.0,20.0,80.0,3,at%,4.0,3.4759358288770104,-9.34144
0.0,0.0,0.0,0.0,30.0,70.0,4,at%,4.0,3.947878332301263,-12.311039999999998
0.0,0.0,0.0,0.0,40.0,60.0,5,at%,4.0,4.1844108615218545,-14.135040000000002
0.0,0.0,0.0,0.0,50.0,50.0,6,at%,4.0,4.234527687296424,-14.8
0.0,0.0,0.0,0.0,60.0,40.0,7,at%,4.0,4.114130058938166,-14.288640000000001
0.0,0.0,0.0,0.0,70.0,30.0,8,at%,4.0,3.816366690225882,-12.579839999999999
0.0,0.0,0.0,0.0,80.0,20.0,9,at%,4.0,3.30368487928844,-9.64864
0.0,0.0,0.0,0.0,90.0,10.0,10,at%,4.0,2.457466918714558,-5.466240000000001
0.0,0.0,0.0,0.0,100.0,0.0,11,at%,4.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,90.0,12,at%,4.1,0.20422055820286225,0.7200000000000001
0.0,0.0,0.0,10.0,10.0,80.0,13,at%,4.1000000000000005,2.661684605035899,-3.8598024691358024
0.0,0.0,0.0,10.0,20.0,70.0,14,at%,4.1,3.5172754047183723,-7.314172839506175
0.0,0.0,0.0,10.0,30.0,60.0,15,at%,4.1,3.998624252435375,-9.632
0.0,0.0,0.0,10.0,40.0,50.0,16,at%,4.1,4.245088351704914,-10.800632098765433
0.0,0.0,0.0,10.0,50.0,40.0,17,at%,4.1,4.306426222924058,-10.80320987654321
0.0,0.0,0.0,10.0,60.0,30.0,18,at%,4.1,4.199691240020891,-9.618285714285713
0.0,0.0,0.0,10.0,70.0,20.0,19,at%,4.1,3.9202268849796567,-7.219728395061728
0.0,0.0,0.0,10.0,80.0,10.0,20,at%,4.1000000000000005,3.4358726298465814,-3.576691358024693
0.0,0.0,0.0,10.0,90.0,0.0,21,at%,4.1,2.6481715006305184,1.3464
0.0,0.0,0.0,20.0,0.0,80.0,22,at%,4.2,0.27247956403269935,1.2800000000000002
0.0,0.0,0.0,20.0,10.0,70.0,23,at%,4.199999999999999,2.691577505468568,-2.638416666666667
0.0,0.0,0.0,20.0,20.0,60.0,24,at%,4.2,3.556982665484993,-5.436000000000002
0.0,0.0,0.0,20.0,30.0,50.0,25,at%,4.2,4.047777040477772,-7.0973500000000005
0.0,0.0,0.0,20.0,40.0,40.0,26,at%,4.2,4.3040597983674,-7.605333333333334
0.0,0.0,0.0,20.0,50.0,30.0,27,at%,4.2,4.376353063984218,-6.938035714285714
0.0,0.0,0.0,20.0,60.0,20.0,28,at%,4.2,4.282780170050934,-5.0680000000000005
0.0,0.0,0.0,20.0,70.0,10.0,29,at%,4.2,4.020637317309768,-1.9619722222222227
0.0,0.0,0.0,20.0,80.0,0.0,30,at%,4.2,3.562340966921118,2.4192
0.0,0.0,0.0,30.0,0.0,70.0,31,at%,4.3,0.3123773479860825,1.68
0.0,0.0,0.0,30.0,10.0,60.0,32,at%,4.3,2.719542134797044,-1.5756734693877559
0.0,0.0,0.0,30.0,20.0,50.0,33,at%,4.3,3.5951070061137713,-3.713175510204083
0.0,0.0,0.0,30.0,30.0,40.0,34,at%,4.300000000000001,4.095390158063553,-4.713551020408165
0.0,0.0,0.0,30.0,40.0,30.0,35,at%,4.3,4.3613909348392035,-4.554122448979593
0.0,0.0,0.0,30.0,50.0,20.0,36,at%,4.3,4.444398049751757,-3.205918367346939
0.0,0.0,0.0,30.0,60.0,10.0,37,at%,4.3,4.363534961989178,-0.6328163265306124
0.0,0.0,0.0,30.0,70.0,0.0,38,at%,4.3,4.1178472226817595,3.2087999999999997
0.0,0.0,0.0,40.0,0.0,60.0,39,at%,4.4,0.33417322548201966,1.92
0.0,0.0,0.0,40.0,10.0,50.0,40,at%,4.4,2.7456308998305565,-0.6723555555555558
0.0,0.0,0.0,40.0,20.0,40.0,41,at%,4.4,3.6316936150520314,-2.147555555555556
0.0,0.0,0.0,40.0,30.0,30.0,42,at%,4.4,4.1415128351488235,-2.4822857142857147
0.0,0.0,0.0,40.0,40.0,20.0,43,at%,4.4,4.417142190840635,-1.6462222222222223
0.0,0.0,0.0,40.0,50.0,10.0,44,at%,4.4,4.510643153656317,0.3999999999999999
0.0,0.0,0.0,40.0,60.0,0.0,45,at%,4.4,4.442079844425463,3.7056
0.0,0.0,0.0,50.0,0.0,50.0,46,at%,4.5,0.3412969283276446,2.0
0.0,0.0,0.0,50.0,10.0,40.0,47,at%,4.5,2.769890323472087,0.07130666666666663
0.0,0.0,0.0,50.0,20.0,30.0,48,at%,4.5,3.666783885402191,-0.739474285714286
0.0,0.0,0.0,50.0,30.0,20.0,49,at%,4.5,4.186190489015211,-0.4021600000000003
0.0,0.0,0.0,50.0,40.0,10.0,50,at%,4.5,4.47136925039199,1.1256177777777778
0.0,0.0,0.0,50.0,50.0,0.0,51,at%,4.5,4.575163398692816,3.9
0.0,0.0,0.0,60.0,0.0,40.0,52,at%,4.6,0.3346297462818526,1.92
0.0,0.0,0.0,60.0,10.0,30.0,53,at%,4.6,2.792361628612224,0.6552857142857138
0.0,0.0,0.0,60.0,20.0,20.0,54,at%,4.6,3.7004157723732223,0.5119999999999996
0.0,0.0,0.0,60.0,30.0,10.0,55,at%,4.6000000000000005,4.229465089903616,1.5329999999999997
0.0,0.0,0.0,60.0,40.0,0.0,56,at%,4.6,4.524123535483446,3.7824
0.0,0.0,0.0,70.0,0.0,30.0,57,at%,4.7,0.31323142139137755,1.68
0.0,0.0,0.0,70.0,10.0,20.0,58,at%,4.7,2.813081231981942,1.079777777777777
0.0,0.0,0.0,70.0,20.0,10.0,59,at%,4.7,3.732624105195506,1.6106666666666662
0.0,0.0,0.0,70.0,30.0,0.0,60,at%,4.7,4.271375481317033,3.3432
0.0,0.0,0.0,80.0,0.0,20.0,61,at%,4.8,0.27359781121750976,1.2800000000000002
0.0,0.0,0.0,80.0,10.0,10.0,62,at%,4.800000000000001,2.8320811626041302,1.345777777777778
0.0,0.0,0.0,80.0,20.0,0.0,63,at%,4.8,3.7634408602150593,2.5728
0.0,0.0,0.0,90.0,0.0,10.0,64,at%,4.9,0.20533880903490842,0.7200000000000001
0.0,0.0,0.0,90.0,10.0,0.0,65,at%,4.9,2.8493894165535996,1.4616
0.0,0.0,0.0,100.0,0.0,0.0,66,at%,5.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,90.0,67,at%,4.2,1.6415868673050615,-1.2960000000000003
0.0,0.0,10.0,0.0,10.0,80.0,68,at%,4.2,3.254943426212288,-6.055802469135803
0.0,0.0,10.0,0.0,20.0,70.0,69,at%,4.2,4.085667783217927,-9.672395061728396
0.0,0.0,10.0,0.0,30.0,60.0,70,at%,4.2,4.5911384820839585,-12.149
0.0,0.0,10.0,0.0,40.0,50.0,71,at%,4.2,4.882356304511581,-13.475192098765433
0.0,0.0,10.0,0.0,50.0,40.0,72,at%,4.2,5.005005580690371,-13.634765432098767
0.0,0.0,10.0,0.0,60.0,30.0,73,at%,4.2,4.979295977319702,-12.606530612244898
0.0,0.0,10.0,0.0,70.0,20.0,74,at%,4.2,4.810437268672188,-10.364478395061727
0.0,0.0,10.0,0.0,80.0,10.0,75,at%,4.2,4.490011706576488,-6.877827160493829
0.0,0.0,10.0,0.0,90.0,0.0,76,at%,4.2,3.989867004433191,-2.11104
0.0,0.0,10.0,10.0,0.0,80.0,77,at%,4.300000000000001,1.6326982124403266,-0.74
0.0,0.0,10.0,10.0,10.0,70.0,78,at%,4.3,3.2705483834990416,-4.84375
0.0,0.0,10.0,10.0,20.0,60.0,79,at%,4.3,4.113228966610097,-7.808888888888891
0.0,0.0,10.0,10.0,30.0,50.0,80,at%,4.3,4.6284146553892755,-9.63275
0.0,0.0,10.0,10.0,40.0,40.0,81,at%,4.300000000000001,4.928758278255694,-10.300960000000002
0.0,0.0,10.0,10.0,50.0,30.0,82,at%,4.3,5.060743008206507,-9.792638888888888
0.0,0.0,10.0,10.0,60.0,20.0,83,at%,4.3,5.045265462717138,-8.080816326530613
0.0,0.0,10.0,10.0,70.0,10.0,84,at%,4.3,4.888421839791408,-5.1325
0.0,0.0,10.0,10.0,80.0,0.0,85,at%,4.300000000000001,4.583300662090559,-0.9086913580246914
0.0,0.0,10.0,20.0,0.0,70.0,86,at%,4.4,1.620843776191679,-0.3413333333333335
0.0,0.0,10.0,20.0,10.0,60.0,87,at%,4.4,3.284717013822932,-3.783673469387756
0.0,0.0,10.0,20.0,20.0,50.0,88,at%,4.4,4.139584521999922,-6.091664399092972
0.0,0.0,10.0,20.0,30.0,40.0,89,at%,4.4,4.664535318589282,-7.257484353741498
0.0,0.0,10.0,20.0,40.0,30.0,90,at%,4.4,4.973967110307721,-7.260834829931974
0.0,0.0,10.0,20.0,50.0,20.0,91,at%,4.4,5.11517442577217,-6.073759637188209
0.0,0.0,10.0,20.0,60.0,10.0,92,at%,4.4,5.109722419866976,-3.660680272108844
0.0,0.0,10.0,20.0,70.0,0.0,93,at%,4.4,4.964539007092209,0.021694444444444017
0.0,0.0,10.0,30.0,0.0,60.0,94,at%,4.5,1.6059457866840297,-0.10200000000000031
0.0,0.0,10.0,30.0,10.0,50.0,95,at%,4.5,3.29746225530207,-2.881555555555556
0.0,0.0,10.0,30.0,20.0,40.0,96,at%,4.5,4.164753157189563,-4.528844444444446
0.0,0.0,10.0,30.0,30.0,30.0,97,at%,4.5,4.699523606621647,-5.031000000000001
0.0,0.0,10.0,30.0,40.0,20.0,98,at%,4.5,5.018011935742525,-4.359696507936508
0.0,0.0,10.0,30.0,50.0,10.0,99,at%,4.5,5.168338232943627,-2.4764444444444447
0.0,0.0,10.0,30.0,60.0,0.0,100,at%,4.5,5.172720679323612,0.6674693877551015
0.0,0.0,10.0,40.0,0.0,50.0,101,at%,4.6,1.5879062966790445,-0.022400000000000198
0.0,0.0,10.0,40.0,10.0,40.0,102,at%,4.6,3.3087949758362933,-2.13856
0.0,0.0,10.0,40.0,20.0,30.0,103,at%,4.6000000000000005,4.1887520937789935,-3.122382222222223
0.0,0.0,10.0,40.0,30.0,20.0,104,at%,4.6,4.733401132413329,-2.9538457142857144
0.0,0.0,10.0,40.0,40.0,10.0,105,at%,4.6000000000000005,5.06092004623651,-1.5923199999999997
0.0,0.0,10.0,40.0,50.0,0.0,106,at%,4.6,5.2202703113068845,1.0175999999999998
0.0,0.0,10.0,50.0,0.0,40.0,107,at%,4.7,1.5666042842159718,-0.10266666666666668
0.0,0.0,10.0,50.0,10.0,30.0,108,at%,4.7,3.318724059224621,-1.5550000000000004
0.0,0.0,10.0,50.0,20.0,20.0,109,at%,4.7,4.2115971597106405,-1.8719365079365082
0.0,0.0,10.0,50.0,30.0,10.0,110,at%,4.7,4.766188093576443,-1.020666666666667
0.0,0.0,10.0,50.0,40.0,0.0,111,at%,4.7,5.10271703114646,1.0613511111111111
0.0,0.0,10.0,60.0,0.0,30.0,112,at%,4.8,1.541891780263988,-0.34285714285714297
0.0,0.0,10.0,60.0,10.0,20.0,113,at%,4.8,3.327256476473776,-1.1307936507936511
0.0,0.0,10.0,60.0,20.0,10.0,114,at%,4.800000000000001,4.2333028721614365,-0.7739682539682542
0.0,0.0,10.0,60.0,30.0,0.0,115,at%,4.8,4.797903368676741,0.7881428571428568
