,Elements,Atomic_frac,Power,Velocity_m/s,Hatch_spacing_m,Powder_thick_m,Beam_radium_m,Beam_diameter_m,thermal_cond_liq,Cp_J/kg,Laser_WaveLength_m,T_solidus,Latent_Heat,Density_liq_kg/m3,Cp_liq,thermal_diff_liq,surf_tens_liq,thermal_cond_RT,T_liquidus,Density_kg/m3,Absorptivity,H_specific_J/m3,h_s_J/m3,H_normalized,Marangoni Number,H_boiling_(J/mol),H_after_boiling,H_at_boiling,mass_kg,T_b,B,p,dwell_time_s,Thermal_diffusion_time_s,T_surface_K,dimensioness_P,dimensioness_v,dimensionless_t,dimensionless_h,LED_dimensionless,SED_dimensionless,VED_dimensionless,LED_J/mm,SED_J/mm2,VED_J/mm3,length,depth,width,Tmax,Tmin
0,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],80,0.1,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,76403377027.94615,12554734902.770689,6.085622485830807,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,3.433444815909745,0.9725,0.00039999999999999996,0.00012473972903610138,9705.811099487155,36.154616718944254,1.0282776349614395,2.0,2.0,35.16036475917329,17.580182379586645,8.790091189793323,0.8,10.000000000000002,250.00000000000009,0.0002947417669929564,7.446964445989579e-05,0.0001909545244416222,5963.89697265625,295.79876708984375
1,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],80,0.2,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,54025346002.01321,12554734902.770689,4.303184927472297,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,2.427812112159578,0.48625,0.00019999999999999998,6.236986451805069e-05,6863.044845363028,36.154616718944254,2.056555269922879,2.0,2.0,17.580182379586645,8.790091189793323,4.395045594896661,0.4,5.000000000000001,125.00000000000004,0.0002614567638374865,5.0155151257058606e-05,0.00015391167835332453,5007.79736328125,281.5429992675781
2,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],80,0.30000000000000004,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,44111510294.08118,12554734902.770689,3.5135357803808556,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,1.982300288713216,0.32416666666666666,0.0001333333333333333,4.157990967870046e-05,5603.652650992567,36.154616718944254,3.0848329048843186,2.0,2.0,11.720121586391096,5.860060793195548,2.930030396597774,0.2666666666666666,3.3333333333333335,83.33333333333334,0.00024013395886868238,3.6576933780452237e-05,0.00013448040408547968,4423.85693359375,281.4046936035156
3,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],80,0.4,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,38201688513.973076,12554734902.770689,3.0428112429154033,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,1.7167224079548724,0.243125,9.999999999999999e-05,3.1184932259025346e-05,4852.9055497435775,36.154616718944254,4.113110539845758,2.0,2.0,8.790091189793323,4.395045594896661,2.1975227974483307,0.2,2.5000000000000004,62.50000000000002,0.00022605426784139127,2.8489082978921942e-05,0.00012456081458367407,3976.94287109375,277.8734436035156
4,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],90,0.1,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,85953799156.43944,12554734902.770689,6.846325296559659,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,3.8626254178984625,0.9725,0.00039999999999999996,0.00012473972903610138,10919.03748692305,40.6739438088123,1.0282776349614395,2.0,2.0,39.55541035406996,19.77770517703498,9.88885258851749,0.9,11.250000000000002,281.2500000000001,0.0003242510138079524,8.062017150223255e-05,0.0002003133704420179,6630.74560546875,297.0338439941406
5,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],90,0.2,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,60778514252.26486,12554734902.770689,4.841083043406335,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,2.731288626179525,0.48625,0.00019999999999999998,6.236986451805069e-05,7720.925451033408,40.6739438088123,2.056555269922879,2.0,2.0,19.77770517703498,9.88885258851749,4.944426294258745,0.45,5.625000000000001,140.62500000000006,0.0002904433640651405,5.5817828979343176e-05,0.00016267375031020492,5506.40966796875,279.7079772949219
6,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],90,0.30000000000000004,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,49625449080.84133,12554734902.770689,3.952727752928463,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,2.2300878248023674,0.32416666666666666,0.0001333333333333333,4.157990967870046e-05,6304.109232366638,40.6739438088123,3.0848329048843186,2.0,2.0,13.185136784689988,6.592568392344994,3.296284196172497,0.29999999999999993,3.75,93.75000000000001,0.00026913706096820533,4.20864816987887e-05,0.00014275242574512959,4877.6259765625,280.9759826660156
7,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],90,0.4,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,42976899578.21972,12554734902.770689,3.4231626482798294,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,1.9313127089492312,0.243125,9.999999999999999e-05,3.1184932259025346e-05,5459.518743461525,40.6739438088123,4.113110539845758,2.0,2.0,9.88885258851749,4.944426294258745,2.4722131471293727,0.225,2.8125000000000004,70.31250000000003,0.0002551788929849863,3.383959483471699e-05,0.00013260568084660918,4401.3193359375,282.4385070800781
8,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],100,0.1,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,95504221284.9327,12554734902.770689,7.607028107288508,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,4.291806019887181,0.9725,0.00039999999999999996,0.00012473972903610138,12132.263874358945,45.193270898680325,1.0282776349614395,2.0,2.0,43.95045594896662,21.97522797448331,10.987613987241655,1.0,12.500000000000002,312.5000000000001,0.00034738617250695825,8.664673805469647e-05,0.00021009717602282763,7294.25634765625,298.2467956542969
9,"['Fe', 'Co', 'Cr', 'Mn', 'Ni']",[20. 20. 20. 20. 20.],100,0.2,7.999999999999999e-05,3.9999999999999996e-05,3.9999999999999996e-05,7.999999999999999e-05,20.19319908,954.5093922360386,1.0700000000000001e-06,1556.559084,12309.13789,6986.877826000001,41.68433569,3.89e-06,1.5348134569999998,13.48467814,1594.875647,8247.085824,0.47340978277799295,67531682502.51651,12554734902.770689,5.378981159340372,-245444.48581015915,132605.33947340064,247821.38561817072,115216.04614477007,0.056081148000000004,2959.6000000000004,3.034765140199472,0.48625,0.00019999999999999998,6.236986451805069e-05,8578.806056703785,45.193270898680325,2.056555269922879,2.0,2.0,21.97522797448331,10.987613987241655,5.493806993620828,0.5,6.250000000000001,156.25000000000006,0.00031338154803961515,6.069462324376218e-05,0.00017036488861776888,6039.009765625,278.8563537597656
