W,Ta,Mo,Nb,Zr,Ti
19.1281,0.5437,20.8164,25.9444,26.1928,7.3746
19.8185,29.0082,21.6164,26.0546,0.828,2.6743
1.1652,47.1561,9.5432,33.3903,1.1652,7.58
0.9526,6.8801,44.3984,0.9526,4.4069,42.4092
0.9707,0.9707,24.5809,40.3705,0.9707,32.1364
25.8301,0.6884,18.6532,11.8981,10.5499,32.3804
1.4433,1.4433,44.4772,7.1765,2.5977,42.8619
48.0796,1.0787,14.9647,1.0787,9.3011,25.497
40.1298,1.1523,33.5006,22.9127,1.1523,1.1523
1.0204,1.0204,45.9865,29.2591,1.0204,21.6931
27.9605,1.3678,53.7731,14.163,1.3678,1.3678
10.3437,19.8598,31.5908,26.856,10.7049,0.6448
45.8793,7.9496,1.0377,43.0582,1.0377,1.0377
16.4706,14.9696,33.8061,9.6916,0.7153,24.3468
1.4428,1.4428,17.9985,8.682,68.9911,1.4428
33.4882,23.6228,0.8449,0.8449,40.3544,0.8449
0.7932,1.025,21.1584,15.6932,23.6223,37.7078
2.5035,1.3546,53.795,1.3546,39.6375,1.3546
2.611,2.611,86.9448,2.611,2.611,2.611
2.9365,1.4952,1.4952,41.7505,50.8276,1.4952
17.7902,32.5596,14.337,6.0937,0.7375,28.482
35.4399,0.9383,0.9383,36.7903,19.6516,6.2416
0.7503,0.7503,15.5155,23.0128,35.0581,24.9129
8.1319,33.8245,0.9978,24.7356,31.3124,0.9978
53.593,5.5349,9.6244,5.5349,20.1779,5.5349
40.6116,1.3712,30.2988,1.3712,23.4657,2.8813
10.5218,22.3033,1.3144,1.3144,52.0859,12.4602
0.6565,24.1223,28.8905,25.3652,20.3091,0.6565
24.4367,12.0831,23.9568,11.5522,0.5526,27.4185
1.5134,44.6579,8.5039,1.5134,1.5134,42.2982
4.2229,28.5152,53.7599,1.1762,1.1762,11.1496
31.593,49.3906,1.066,14.833,2.0513,1.066
2.5887,24.2119,0.6656,27.4696,25.9029,19.1612
4.2442,1.3896,61.9704,1.3896,20.7946,10.2116
0.6644,31.7989,0.6644,20.4538,27.8639,18.5547
0.8903,32.2214,0.8903,41.8994,0.8903,23.2083
20.0507,12.6927,0.8275,0.8275,26.5038,39.0978
38.1513,27.5153,0.8468,29.0454,2.6709,1.7703
41.5362,34.9843,1.8539,1.2042,1.2042,19.2172
38.0024,4.7745,22.5466,0.9776,4.6756,29.0232
13.1964,32.5574,30.329,2.5051,0.7869,20.6253
47.753,46.3146,1.1568,1.1568,1.1568,2.4619
4.817,1.0715,8.298,46.7139,1.0715,38.0282
0.9154,0.9154,10.9211,43.7304,0.9154,42.6022
0.8391,35.7009,17.6399,32.0127,12.9683,0.8391
21.2553,3.2541,17.1858,25.2273,23.7895,9.2879
0.9665,34.8785,0.9665,41.8796,20.3423,0.9665
29.1233,26.3012,1.6185,39.72,1.6185,1.6185
52.9194,2.8661,2.8661,35.6163,2.8661,2.8661
1.077,39.3787,18.1297,1.077,39.2604,1.077
49.5686,16.9813,25.0866,5.009,1.2071,2.1473
10.452,30.4244,1.4263,12.9081,8.6724,36.1168
22.6143,19.1063,27.1026,6.0661,0.5484,24.5624
32.4907,38.2126,0.8634,12.6168,4.2315,11.585
28.7348,28.5817,23.3086,5.3688,0.9028,13.1033
64.4987,1.9399,1.9399,1.9399,1.9399,27.7416
11.1722,70.357,1.5764,13.7415,1.5764,1.5764
33.4405,25.7255,0.8534,30.7989,8.3283,0.8534
39.4828,0.8059,0.8059,32.4446,25.6551,0.8059
16.9211,8.3364,29.0369,16.7653,18.7151,10.2252
1.0988,9.8409,3.395,21.9428,16.8832,46.8392
1.973,1.973,30.143,1.973,61.9648,1.973
0.8248,19.9187,29.6234,23.7425,15.4999,10.3906
26.139,13.1842,23.6464,0.5304,19.2749,17.2251
1.0145,45.613,50.329,1.0145,1.0145,1.0145
12.0022,27.5449,20.4017,0.7509,34.7693,4.531
11.7747,6.6159,13.5615,17.4921,19.17,31.3858
26.1638,20.7588,23.3566,3.542,2.5755,23.6034
39.8544,7.6284,0.8846,0.8846,25.2677,25.4803
28.7537,12.093,23.5041,33.9779,0.8356,0.8356
28.6245,1.3512,35.3205,24.7788,9.1937,0.7313
22.8954,4.6188,13.8062,32.0698,14.7378,11.8721
2.797,13.501,27.2213,11.4888,22.4178,22.5741
82.9485,4.659,1.6935,7.312,1.6935,1.6935
11.9278,15.5779,14.1542,21.5593,16.0688,20.7121
2.044,2.044,2.044,85.8985,5.9254,2.044
1.4108,22.1678,1.4108,37.2829,1.9692,35.7584
36.1711,21.2557,0.9639,0.9639,3.2548,37.3906
0.5987,29.422,10.3753,22.8725,7.6072,29.1244
16.6745,2.3257,31.9448,23.9138,24.3535,0.7878
1.3164,8.39,28.505,1.3164,44.4299,16.0423
20.5619,17.442,30.7064,5.1631,0.6151,25.5116
0.8103,10.5036,11.5715,0.8103,40.4735,35.8309
25.6148,25.7591,18.2871,0.9429,0.9429,28.4533
1.0033,17.4326,42.8327,36.7248,1.0033,1.0033
19.4116,3.1682,67.9158,3.1682,3.1682,3.1682
26.6421,22.3844,5.7966,42.0461,1.5654,1.5654
39.7268,6.2653,0.8746,0.8746,39.8877,12.3711
