W,Ta,Mo,Nb,Zr,Ti
22.9284,15.845,5.1439,25.929,12.3104,17.8433
9.9829,28.2726,27.2989,5.9364,22.8699,5.6393
11.1786,48.0425,7.5925,2.8154,21.7332,8.6379
7.2794,18.316,1.2307,24.9097,22.2623,26.0019
24.1179,12.3849,2.5692,10.2998,30.699,19.9292
26.1642,19.5499,14.2782,23.7302,13.0604,3.217
16.2769,16.6166,38.3685,7.7647,8.4452,12.5281
8.66,19.7913,25.2293,21.1971,7.6979,17.4244
15.5153,25.9899,2.1557,9.6241,23.5016,23.2134
22.5006,12.3092,23.7183,6.0946,12.91,22.4675
17.8897,13.8079,22.4782,20.7864,23.7182,1.3197
12.3394,13.2317,36.1242,16.2804,21.9725,0.0517
22.2986,19.5167,17.1419,15.5056,15.2401,10.2971
1.227,11.5909,28.418,27.1043,8.2919,23.3679
26.2302,10.5246,8.6061,23.7256,10.9014,20.0121
16.0176,17.3639,21.5678,17.9303,3.4963,23.6241
17.8624,10.58,3.6323,9.8466,28.8956,29.1831
17.5072,21.1956,23.152,21.4431,4.9767,11.7253
6.9264,3.8144,4.7122,24.957,30.4129,29.1771
12.3265,11.1415,12.0286,24.5282,25.8338,14.1414
1.3511,17.8609,26.5346,21.1717,11.1651,21.9166
14.9881,3.4767,21.7996,16.2007,22.4858,21.0491
0.7671,38.0038,36.0514,13.3305,7.8047,4.0425
22.888,9.9211,29.4206,7.6052,22.2118,7.9534
2.402,25.6301,22.106,23.8066,3.4261,22.6292
1.773,9.3902,27.9983,1.2986,10.9906,48.5492
20.054,16.6389,4.239,7.0625,23.7892,28.2164
19.9155,12.7415,1.7131,21.6585,22.0446,21.9267
8.8975,14.558,14.1592,14.9313,23.3061,24.148
12.4764,1.9236,20.0137,36.1798,23.1858,6.2207
6.1695,23.151,16.3099,23.8162,3.7759,26.7774
7.3813,26.6628,14.3818,17.0022,1.2705,33.3014
32.4235,13.3924,20.0111,15.6538,9.6918,8.8273
2.5249,17.532,36.2126,8.8829,13.5191,21.3285
