W,Ta,Mo,Nb,Zr,Ti
26.5119,25.1359,2.6129,35.7393,7.6603,2.3397
23.5174,2.9564,12.3698,51.1564,4.6048,5.3952
16.9755,8.4904,16.4387,48.0954,6.8202,3.1798
5.2386,34.8776,41.7956,8.0883,4.3988,5.6012
22.8517,27.1781,5.8909,34.0793,4.7052,5.2948
45.2678,11.0498,20.9959,19.3517,0.3504,2.9845
22.6783,24.2444,28.9148,15.0067,0.5851,8.5706
30.7548,17.3073,29.4594,12.4785,3.5419,6.4581
49.2413,3.9403,8.8173,31.9624,2.5628,3.4758
0.9575,25.9485,31.8313,37.5853,0.0941,3.5833
32.2613,10.6137,12.3272,34.7978,8.1328,1.8672
17.4482,38.0186,11.519,23.0142,2.5816,7.4184
1.4532,29.6159,24.1474,43.8137,0.319,0.6508
8.7317,25.9578,34.1947,21.1157,4.1887,5.8113
33.6306,18.258,32.5951,7.9634,0.0872,7.4658
21.3504,19.762,34.7394,15.2627,8.1284,0.7572
26.39,49.0879,1.1102,13.4118,5.6313,4.3687
11.1535,46.9237,23.0141,8.9087,3.3431,6.6569
46.2089,6.0171,2.2632,43.0409,0.0001,2.4698
4.508,36.1935,49.0511,0.2474,6.8694,3.1306
34.3773,47.0674,4.8502,3.9806,2.77,6.9545
1.0365,31.2375,24.5798,33.1461,7.8979,2.1021
34.0671,28.5248,28.1829,2.1145,4.5809,2.5299
6.9649,50.769,1.5493,30.878,3.7933,6.0454
17.7259,26.0666,27.3477,20.4569,7.7238,0.6792
47.5895,16.9726,5.1815,20.2564,5.5583,4.4417
18.1898,34.1385,29.7285,15.5758,1.3799,0.9875
31.8421,3.7869,36.7746,23.6229,2.4556,1.5179
24.2391,28.2336,13.2618,24.2655,5.7655,4.2345
15.6175,16.0073,52.3222,7.9876,2.3766,5.6889
42.7939,25.1754,7.8605,17.8764,5.5663,0.7274
36.7059,12.66,35.8991,4.735,6.7445,3.2555
13.847,38.6042,13.0584,31.1325,1.4487,1.9092
29.4733,30.195,4.1685,26.1633,4.0796,5.9204
28.7389,15.5818,37.3236,8.3558,5.2962,4.7038
43.9787,3.2197,37.3031,9.4402,4.9904,1.0678
12.6384,20.1326,29.2397,27.9893,7.1449,2.8551
8.4972,2.0006,61.7952,17.707,2.0617,7.9383
11.4883,12.6598,40.7363,31.3882,1.3636,2.3638
16.9639,21.5657,19.7625,31.7078,5.1358,4.8642
13.9886,22.5805,23.1032,30.3277,6.7905,3.2095
21.1978,25.5557,39.8793,4.4719,1.2896,7.6057
23.3588,8.965,31.5533,32.3492,2.0163,1.7573
4.8317,24.9813,44.8977,17.5155,4.3712,3.4026
36.3163,2.0074,41.0738,10.6025,8.7118,1.2882
13.0612,46.1814,17.8506,12.9068,5.5785,4.4215
55.3405,9.0558,13.8242,19.8039,1.093,0.8825
14.8214,54.3789,17.7085,3.0913,8.3261,1.6739
3.8469,31.7771,20.8532,40.0099,0.819,2.6938
31.6328,3.1566,12.2038,43.0067,5.4318,4.5682
31.7849,32.1294,17.6346,8.451,4.1976,5.8024
4.7836,53.5619,32.0852,4.4559,2.7772,2.3363
29.1422,17.8272,18.2295,24.8011,7.9043,2.0957
23.0209,1.5755,25.2635,41.7162,6.8891,1.5349
23.0263,33.7851,26.9931,13.4836,2.036,0.676
29.1394,5.9161,29.2458,26.403,7.4949,1.8008
39.7027,16.0605,1.7694,38.9768,1.2426,2.2481
29.2383,27.2395,17.7309,22.6585,2.7946,0.3382
28.8496,23.8087,15.0058,23.1034,2.544,6.6885
20.0375,7.2736,30.1874,32.6421,7.5992,2.2601
4.9333,35.3245,23.7342,26.0079,4.0145,5.9855
18.224,27.9118,20.0362,24.6725,5.4161,3.7395
18.435,17.5277,16.3839,39.2282,0.132,8.2932
29.012,18.1268,39.799,4.0994,8.1656,0.7972
26.2264,30.4746,10.162,23.137,1.7001,8.2999
9.4012,7.4733,46.7836,27.2025,5.6416,3.4978
21.1397,48.238,15.8346,12.3524,1.45,0.9852
39.0487,43.073,2.4521,5.4262,4.41,5.59
26.4528,51.9753,9.1955,2.3764,5.5969,4.4031
44.2407,37.6462,3.4923,4.6208,3.2921,6.7079
18.5437,26.1956,3.699,44.6326,0.7107,6.2185
28.6589,11.6278,14.7908,37.2972,7.2071,0.4181
7.7445,15.0312,39.3826,32.2759,3.9524,1.6134
22.7561,38.7491,23.1207,10.3483,2.7608,2.265
32.7557,21.3287,24.7638,16.7425,3.0468,1.3623
34.882,20.3545,9.944,27.3483,6.9425,0.5287
22.2461,12.5105,44.8997,12.732,5.8144,1.7973
39.7679,0.4084,38.5756,13.366,5.0669,2.8152
32.1197,3.2061,2.4442,53.484,3.7008,5.0453
8.826,15.7336,44.8518,28.0587,1.2233,1.3066
28.1427,11.9146,31.7963,18.1464,6.8284,3.1716
30.4309,18.1481,5.1932,36.5204,1.6956,8.0118
14.8137,13.741,28.9555,32.4897,5.2315,4.7685
23.0685,7.5152,22.4945,38.7876,7.1405,0.9937
38.3378,1.4197,28.468,21.7745,6.1243,3.8757
3.0142,47.6191,33.1485,6.2182,6.1501,3.8499
22.8221,39.6491,23.4002,4.1287,0.0981,9.9019
11.8406,26.3042,36.9086,16.6963,1.324,6.9264
28.7895,37.5904,13.1463,15.3289,3.3429,1.802
19.2846,30.1924,31.5873,10.8373,1.406,6.6925
22.0483,11.4767,30.3103,26.9896,3.0385,6.1365
7.7919,4.7835,29.242,48.1826,8.2178,1.7822
14.2474,11.3924,22.5453,46.6969,1.1961,3.9219
9.6132,3.4342,44.4463,32.5063,4.2363,5.7637
24.4386,13.7416,50.6842,4.9146,1.6338,4.5871
3.593,34.0038,23.0356,34.5329,2.7886,2.046
39.9044,20.7353,4.638,24.7224,2.793,7.207
28.1213,22.9696,18.0237,21.2667,0.9285,8.6902
26.6132,12.7113,30.1668,20.5087,5.5012,4.4988
27.8823,31.0883,34.3307,2.0794,2.9581,1.6612
20.168,17.1614,3.8421,48.9248,9.1894,0.7143
28.0383,18.5322,23.6115,21.4711,4.7447,3.6023
25.1868,3.8943,24.4332,36.4857,1.4165,8.5835
12.1179,27.5653,27.8478,23.1617,2.1895,7.1178
37.8851,2.2682,12.1902,37.6565,5.6789,4.3211
18.2827,13.0037,27.9618,31.3877,1.4352,7.9289
41.6815,14.608,26.4593,7.2511,1.8397,8.1603
18.2883,24.7509,39.3083,10.4136,0.8286,6.4103
14.241,21.5048,33.4032,20.851,5.6098,4.3902
7.0204,85.0465,0.874,2.8873,1.6519,2.5199
19.0228,15.7031,27.6701,27.604,4.3243,5.6757
18.6031,27.5605,34.0415,9.7949,5.5664,4.4336
12.2376,18.4964,11.737,47.5471,2.3368,7.645
25.7154,27.8482,17.3326,23.3171,2.9731,2.8136
4.4551,26.2193,48.2706,11.0549,5.2808,4.7192
27.6405,9.1297,1.3407,57.5228,2.7309,1.6353
14.1727,28.8176,24.2875,26.7992,1.0292,4.8938
26.0415,24.103,27.0852,12.7703,7.2045,2.7955
19.8859,17.7561,22.9228,31.6594,5.9594,1.8164
31.747,10.1082,22.1976,25.9471,3.1634,6.8366
28.8533,22.7355,20.0278,18.3834,3.6552,6.3448
24.9175,24.3054,16.2737,24.5034,7.3554,2.6446
45.0895,33.3272,6.8203,8.0403,0.2909,6.4318
30.2816,32.8114,22.4327,4.4743,5.0542,4.9458
15.1077,40.4953,12.9771,29.7572,0.1479,1.5148
2.55,20.3407,44.5748,27.8917,1.8235,2.8192
29.0542,37.618,25.8805,3.4562,3.1744,0.8166
29.049,27.1205,2.3638,31.4667,2.8829,7.1171
22.2272,21.5499,23.9918,23.1802,1.2272,7.8238
5.6598,50.4494,25.5528,17.1369,0.5685,0.6325
36.4594,15.1303,3.8054,34.6049,3.0738,6.9262
18.1015,17.2293,7.9063,46.7629,1.8608,8.1392
33.0345,13.0666,17.4645,27.1219,0.4308,8.8817
30.5159,20.5082,15.4825,23.4935,4.0742,5.9258
7.7541,45.3982,22.0169,17.4985,4.8181,2.5141
18.8375,18.3585,25.669,27.135,7.1229,2.8771
15.7406,30.6658,22.7175,20.8762,4.3332,5.6668
29.0877,12.1151,16.4417,32.3554,6.4227,3.5773
14.822,33.7307,21.3834,20.0639,2.3302,7.6698
26.2347,2.4806,27.3954,34.4343,0.4553,8.9997
37.8929,0.2579,12.5392,43.4913,5.6571,0.1616
38.8354,8.5369,4.9716,37.6561,5.129,4.871
26.3502,29.5745,1.9144,33.8507,2.129,6.1812
14.2064,21.3033,28.2464,33.8888,0.0157,2.3394
4.324,37.547,1.7475,49.1204,5.2696,1.9914
27.785,17.613,14.6296,33.1714,2.437,4.364
24.7278,11.2715,37.6745,23.6878,0.5564,2.082
6.9388,38.2846,33.8684,12.1875,0.7364,7.9843
24.0036,26.4164,4.3135,37.6261,5.0249,2.6154
21.049,3.301,23.0656,43.0658,7.9678,1.5508
22.5452,19.375,28.2167,19.8631,6.5258,3.4742
41.4517,7.9012,18.0647,23.8424,5.6175,3.1225
25.1744,7.2029,28.225,34.2001,2.4308,2.7668
17.9276,38.3507,17.5613,16.8615,3.5992,5.6997
25.4418,29.9966,5.6385,34.7582,0.3075,3.8575
20.9373,22.8326,2.1054,44.4142,3.4121,6.2984
57.3335,1.3661,7.7126,23.5878,5.2923,4.7077
46.9502,1.273,35.7158,6.061,7.0445,2.9555
35.2413,23.9119,28.2227,2.6242,1.8886,8.1114
52.517,3.6565,2.7578,31.0687,4.7124,5.2876
16.5097,24.3741,35.1346,17.1826,2.107,4.692
13.5454,18.1451,31.4787,29.083,3.2352,4.5128
14.3049,21.5562,29.2789,24.86,5.0088,4.9912
13.8837,7.0183,30.1403,39.193,6.3727,3.392
30.9631,14.0628,20.0371,28.0183,2.2416,4.6771
21.8737,24.758,26.2931,17.7537,7.4872,1.8342
16.0867,49.2298,14.2154,19.1762,0.2416,1.0503
13.8422,10.0273,41.4797,28.7162,1.2896,4.6451
36.6366,36.7961,14.7056,1.8616,2.7929,7.2071
10.9028,27.0242,34.1623,22.0218,2.0814,3.8075
18.8975,6.8066,34.9386,38.545,0.214,0.5984
27.3953,36.8883,4.2374,21.479,5.4403,4.5597
18.5465,13.7632,33.7977,25.0465,0.9327,7.9134
33.5129,18.474,6.3566,36.2397,3.9638,1.4529
23.6978,7.7441,28.9958,29.5623,8.922,1.078
23.7345,21.0883,30.7708,14.4572,1.41,8.5392
8.4573,7.7603,54.3699,21.4459,7.2754,0.6913
14.8018,55.2917,7.9651,11.9414,5.8936,4.1064
19.448,22.2943,13.1708,35.0868,5.8947,4.1053
23.4247,42.4266,8.8882,15.2605,5.8208,4.1792
25.4093,14.2664,41.6982,14.7316,0.0512,3.8434
14.2738,28.9428,26.9404,21.3841,2.9635,5.4954
18.3544,24.3081,26.8443,20.4932,3.5074,6.4926
8.1629,36.0646,36.3221,17.2748,1.4754,0.7002
38.4506,18.0474,4.57,32.8928,4.7916,1.2477
14.8805,15.3486,35.4178,24.9865,7.2108,2.1557
29.1273,26.3879,27.1015,8.8312,2.4296,6.1226
13.3172,51.0548,23.95,1.678,5.3637,4.6363
23.548,7.9854,37.8204,20.9376,5.319,4.3897
30.2596,36.0699,14.5571,9.1134,6.1363,3.8637
17.441,4.8266,55.5205,12.2119,8.6015,1.3985
40.648,3.886,15.5722,29.8938,5.1892,4.8108
6.4611,44.4091,37.4094,1.7204,1.4282,8.5718
15.5432,27.8246,36.5964,10.0358,8.2099,1.7901
44.3295,22.8361,7.6807,22.7235,1.9504,0.4798
39.4854,18.3637,16.7914,15.3595,3.7966,6.2034
17.643,11.333,35.575,27.5537,6.5754,1.3199
49.5959,5.8582,11.4888,23.0571,7.3502,2.6498
34.2284,1.3759,23.4701,32.3608,4.7824,3.7824
21.099,32.4594,28.2748,8.1669,4.6543,5.3457
37.3805,27.19,3.6939,21.7356,4.2,5.8
12.3222,35.588,29.4914,12.5984,5.4119,4.5881
24.9223,17.5702,24.3464,23.1611,7.1735,2.8265
31.0183,22.7123,27.8636,8.4058,2.6564,7.3436
0.7258,31.4608,26.9022,30.9113,7.0934,2.9066
21.7249,44.0544,12.2891,16.9715,2.4111,2.549
3.2914,25.1991,21.3263,40.1832,4.9868,5.0132
30.483,25.936,23.1332,10.4478,6.2125,3.7875
14.9372,6.42,58.9735,9.6692,4.3863,5.6137
47.6855,28.3148,15.0627,6.7988,1.9054,0.2328
22.976,34.9195,31.4825,0.622,7.5089,2.4911
31.3483,31.8733,3.088,23.6903,5.6239,4.3761
50.4473,22.4284,0.8045,21.5436,4.3856,0.3905
8.0664,32.2303,15.3498,34.3535,6.8609,3.1391
16.8002,33.2319,25.9027,14.0652,3.6465,6.3535
9.6454,27.0355,27.5955,25.7236,5.2973,4.7027
23.0632,30.4887,19.2121,17.7808,3.2646,6.1906
8.014,20.887,27.965,33.1341,6.38,3.62
29.8172,22.8897,7.2136,30.0795,4.9876,5.0124
35.1562,8.4097,35.0392,11.3949,7.7173,2.2827
13.2389,16.935,32.6791,32.1782,1.8211,3.1477
24.1274,27.2626,23.7324,22.4406,0.2462,2.1909
10.3284,25.7843,30.482,23.4052,4.5973,5.4027
34.5419,17.989,31.4991,5.97,4.3082,5.6918
30.3898,23.3251,11.175,25.1101,4.5747,5.4253
31.9608,27.7161,17.5102,21.5199,0.1393,1.1538
37.5563,16.3943,31.124,4.9254,1.7642,8.2358
15.2105,39.5764,0.882,39.2308,2.9348,2.1655
24.7457,12.1101,18.9671,38.434,0.8862,4.8569
24.5618,36.4851,16.364,14.8192,1.306,6.4639
30.1273,27.3773,31.4338,2.0505,2.7094,6.3018
25.7761,28.9467,5.8857,29.3915,5.8327,4.1673
35.6011,17.7343,10.0549,34.5315,0.0612,2.017
26.7756,30.9487,8.3073,23.9683,2.6547,7.3453
16.4281,22.178,27.709,23.6848,1.7521,8.2479
17.7181,26.3717,20.4213,25.4889,3.8255,6.1745
30.8711,0.7278,20.7322,37.6689,3.1021,6.8979
28.1659,40.8296,20.5736,1.8129,5.6751,2.9428
1.9023,42.2773,32.262,13.5583,5.489,4.511
23.4873,18.9404,19.8411,28.1798,7.1372,2.4141
32.6017,8.188,20.4691,33.0883,2.197,3.456
0.8865,12.7057,38.4509,40.9373,5.748,1.2715
38.2221,17.6433,22.2962,11.8383,6.3602,3.6398
19.009,20.2164,21.3162,29.4584,5.2666,4.7334
20.3111,27.0241,30.752,11.9127,7.2656,2.7344
21.2908,9.6642,36.4704,22.8489,1.004,8.7217
17.8433,29.7008,42.0172,4.6738,1.3203,4.4445
17.6784,24.6709,19.6216,30.9655,4.6422,2.4213
39.9618,18.0243,27.5989,4.415,5.2247,4.7753
12.3334,29.4716,25.5398,22.6552,4.9913,5.0087
7.7212,4.0375,46.4753,33.8075,5.4093,2.5491
11.0777,22.5059,37.1883,20.0117,2.1898,7.0266
22.5601,23.1233,5.2691,43.3317,0.6095,5.1064
16.3826,25.1942,5.8677,42.5555,5.2703,4.7297
8.0362,31.5836,25.2903,32.7931,0.1729,2.1239
24.9043,8.0305,13.1383,50.0989,3.4191,0.4089
38.3302,18.8468,6.5889,29.9042,5.7156,0.6144
35.5652,5.5711,28.2364,29.9157,0.1449,0.5667
23.6712,0.7123,25.9856,39.9332,5.0528,4.6449
21.2978,29.9259,14.7219,24.4701,3.0554,6.5289
5.5494,40.7153,18.9339,33.0977,0.4809,1.2228
3.5537,15.1494,30.772,40.5249,7.2265,2.7735
25.4069,42.8307,5.9708,21.3388,2.2675,2.1852
39.0459,35.2154,4.2074,11.5313,6.69,3.31
33.3263,24.6252,12.6234,21.9344,5.5074,1.9835
42.4311,11.5773,19.0463,18.6067,2.2844,6.0542
5.8328,8.3114,40.2604,35.5954,5.994,4.006
26.3283,22.9245,24.2614,21.6114,0.0343,4.8401
0.1146,23.1504,38.0541,28.681,3.4495,6.5505
16.6606,26.6722,27.1289,19.5383,6.383,3.617
14.5349,38.2926,2.1682,35.0044,3.8802,6.1198
22.1781,27.0674,27.7,13.0546,7.4022,2.5978
43.1852,10.6401,0.0801,36.0946,4.325,5.675
36.0481,2.2602,29.0601,22.6315,7.5341,2.4659
31.9047,0.9106,31.5521,26.9691,5.0908,3.5728
24.394,18.1263,21.0244,26.4552,5.3063,4.6937
47.4503,2.1531,15.8971,24.4996,5.1311,4.8689
24.8463,12.0979,32.8538,22.066,2.2811,5.8549
13.9214,13.4078,34.0794,29.2574,1.0158,8.3182
43.5285,9.3207,10.7153,26.4355,2.7713,7.2287
21.45,26.7576,12.0447,29.7477,6.8584,3.1416
2.643,27.3918,29.7469,30.2183,3.9907,6.0093
12.3856,40.8746,35.9823,0.7575,5.3775,4.6225
15.2018,16.7707,37.5091,20.5184,4.9901,5.0099
19.3852,25.4772,22.9687,22.1689,6.9527,3.0473
24.7755,14.4649,23.0779,27.6817,4.1953,5.8047
22.5756,8.3434,29.4233,31.4774,5.7582,2.4221
28.8545,15.3059,23.3254,25.3851,0.056,7.073
29.9807,30.7072,28.4484,0.8637,5.9382,4.0618
24.3286,10.3847,38.9945,16.2922,4.5763,5.4237
39.2008,31.1826,15.7919,10.5002,3.1543,0.1702
2.8348,13.8555,47.8596,27.963,2.166,5.3211
19.9492,10.4357,32.497,29.3478,4.8749,2.8954
37.1757,17.7546,14.755,20.3147,5.0393,4.9607
33.4041,16.1557,23.8992,23.5682,1.0583,1.9144
18.1836,6.1048,38.4275,28.5302,7.2759,1.478
16.4626,6.7142,26.7455,40.0777,4.6667,5.3333
23.6575,26.5398,27.3328,16.6926,3.6639,2.1135
2.5515,51.8309,0.5727,35.0449,3.4832,6.5168
10.5246,28.9015,14.8197,36.9262,7.0542,1.7737
13.3531,41.0898,3.8177,31.7393,8.4632,1.5368
32.136,12.7754,30.8177,16.9701,1.3568,5.944
11.7691,31.5976,24.4403,25.1206,6.3411,0.7313
21.3929,11.2304,15.3648,48.8189,1.0921,2.1008
20.2483,12.8294,27.5441,30.2698,4.2564,4.852
6.0039,28.2751,13.9966,41.7245,4.5732,5.4268
27.4649,12.5055,21.7548,30.6499,2.7934,4.8314
29.0927,40.8284,15.0454,10.13,4.6758,0.2277
9.2591,15.1633,26.8293,45.3495,2.7911,0.6076
18.1203,15.7006,32.6013,24.5187,5.3321,3.7269
17.4252,6.1005,13.3425,53.1318,5.1333,4.8667
25.0128,11.6428,42.28,11.0643,3.9751,6.0249
37.409,2.1015,19.9196,37.054,3.4278,0.0881
0.5273,36.8039,22.8851,29.7837,3.4596,6.5404
10.8006,25.8253,30.0556,23.3185,2.6455,7.3545
31.1537,21.8029,18.9267,18.1168,3.3763,6.6237
1.9078,47.3491,19.4669,27.0536,1.8401,2.3825
12.4208,25.352,40.3772,13.5295,1.4626,6.8579
20.1487,32.8118,17.7182,19.3214,4.8576,5.1424
36.2878,30.7974,16.3455,6.5693,6.6987,3.3013
24.0776,13.7232,30.0232,22.176,6.1063,3.8937
27.1002,31.1704,4.2768,28.4044,2.4517,6.5964
11.957,30.6092,22.3777,25.4616,2.7654,6.8291
31.5267,4.9527,47.4883,6.0323,5.7617,4.2383
9.6189,41.2499,31.3363,13.6909,1.3377,2.7662
16.538,28.5554,1.697,43.2095,5.5506,4.4494
29.8443,35.1148,4.0729,20.968,5.8422,4.1578
2.6023,31.4804,27.8022,31.2864,4.7128,2.116
20.4647,18.386,37.0307,17.8472,4.9995,1.2719
