W,Ta,Mo,Nb,Zr,Ti
23.0669,27.0259,27.2177,12.6895,7.6603,2.3397
34.0255,38.2894,1.858,15.8271,4.3988,5.6012
20.4469,37.2822,14.0541,19.061,0.5851,8.5706
38.0255,8.7301,12.7964,36.7705,0.0941,3.5833
27.6113,38.3074,0.3821,32.7294,0.319,0.6508
22.9944,17.8385,16.8094,33.472,8.1284,0.7572
34.5721,15.7553,13.4455,33.7572,0.0001,2.4698
24.3238,13.4336,20.1422,32.1003,7.8979,2.1021
42.7191,34.1374,8.5917,6.1489,7.7238,0.6792
36.8559,27.0691,9.4592,22.6424,2.4556,1.5179
49.7755,24.0261,8.5875,11.3172,5.5663,0.7274
35.9533,31.9324,18.2165,3.8978,4.0796,5.9204
14.3919,51.9333,8.6609,15.0139,7.1449,2.8551
37.4958,17.7224,5.0425,29.7394,5.1358,4.8642
22.2828,17.3453,49.3073,7.291,2.0163,1.7573
8.5806,6.928,59.2388,15.2526,5.5785,4.4215
21.9584,18.4676,23.5321,32.529,0.819,2.6938
41.9618,11.1253,34.1831,7.6163,2.7772,2.3363
53.8923,14.7684,10.1907,18.4366,2.036,0.676
12.9076,33.9359,38.5563,11.4674,2.7946,0.3382
27.7263,19.1431,0.6758,42.4547,4.0145,5.9855
8.1241,39.6632,26.6974,16.5525,8.1656,0.7972
18.4072,23.3323,31.2449,24.5804,1.45,0.9852
4.395,38.453,44.5667,2.5853,3.2921,6.7079
27.6328,22.6705,30.4955,13.6354,3.9524,1.6134
34.7235,10.7334,30.2596,16.8123,6.9425,0.5287
7.6388,8.1591,50.9657,24.4903,3.7008,5.0453
32.1872,29.3384,25.2528,3.5142,1.6956,8.0118
32.8311,20.5522,0.359,36.2577,6.1243,3.8757
23.1594,12.4845,9.7406,46.3653,1.324,6.9264
50.8345,11.3533,6.6926,21.9445,3.0385,6.1365
13.3004,37.3424,22.7014,16.6558,4.2363,5.7637
3.373,31.5704,30.2879,24.7687,2.793,7.207
48.0253,3.7328,24.7964,18.8261,2.9581,1.6612
7.95,25.8442,31.9185,24.2874,1.4165,8.5835
10.3058,45.7137,3.9623,30.6541,1.4352,7.9289
7.0585,10.7671,31.21,40.9644,5.6098,4.3902
13.3375,43.6345,16.9693,16.0587,5.5664,4.4336
23.8875,14.3042,9.0021,42.8062,5.2808,4.7192
29.8861,9.1092,16.1351,34.8696,7.2045,2.7955
41.4497,14.9027,1.4562,32.1914,3.6552,6.3448
2.1106,21.6216,26.0279,40.24,5.0542,4.9458
16.1617,39.8989,5.4166,34.5319,3.1744,0.8166
16.5525,37.2979,8.3641,36.5845,0.5685,0.6325
24.1738,35.16,20.603,10.7507,0.4308,8.8817
21.1356,27.64,26.4771,14.7473,7.1229,2.8771
2.7765,51.7422,34.4959,0.9853,2.3302,7.6698
18.4077,51.2296,0.136,20.2267,5.129,4.871
23.9428,42.8749,5.4666,20.4547,5.2696,1.9914
26.7308,13.9132,42.3858,8.2496,0.7364,7.9843
36.274,20.1629,15.6966,17.8665,6.5258,3.4742
2.0098,25.2159,22.304,41.1713,3.5992,5.6997
35.0744,14.7155,7.5941,32.616,5.2923,4.7077
13.0357,29.0289,20.0156,27.9198,4.7124,5.2876
34.3779,18.2985,12.0926,25.231,5.0088,4.9912
3.3364,14.5047,17.8088,55.0287,7.4872,1.8342
28.3106,50.6391,2.9105,8.1399,2.7929,7.2071
