W,Ta,Mo,Nb,Zr,Ti
18.3797,5.6139,19.4804,22.8238,22.9858,10.7165
19.7633,25.1657,20.8202,23.4293,1.1369,9.6846
2.2749,33.321,14.4959,26.4313,9.9637,13.5133
0.3396,12.9274,34.2398,7.861,11.5225,33.1098
1.3542,2.7626,26.7338,37.0901,0.3699,31.6894
23.2924,2.1697,18.811,14.5932,13.7513,27.3824
0.0005,10.9464,31.5671,14.3859,12.2769,30.8231
32.1399,8.5541,16.0283,8.8522,13.2728,21.1527
33.4163,2.9384,29.6829,23.72,5.9699,4.2725
8.7388,5.4017,32.9537,24.2031,8.4576,20.2451
25.1848,3.291,37.9926,18.3387,6.5547,8.6382
13.3755,19.4107,26.8506,23.8478,13.6045,2.911
33.2091,13.2702,8.2399,31.7261,4.9587,8.596
17.203,16.2935,27.7067,13.0955,3.726,21.9752
8.9021,7.7584,19.2986,15.0224,42.7039,6.3146
29.4037,23.3057,3.8055,3.0726,33.6479,6.7646
2.553,8.3972,20.2658,17.0441,21.7183,30.0216
11.4589,9.6395,34.8927,9.2511,28.4245,6.3332
13.1368,4.3617,48.3592,11.6193,8.0177,14.5053
12.5743,1.5218,11.4467,30.0951,34.1926,10.1695
18.6416,27.7942,16.5016,11.3932,0.4022,25.2673
28.9556,2.8269,6.0877,29.7211,20.0053,12.4034
4.5134,3.0666,17.4365,22.1019,29.5973,23.2843
14.3937,29.3283,2.7482,24.0451,27.8681,1.6166
26.348,10.7553,18.4045,15.0994,20.3111,9.0817
30.2309,2.302,25.3185,7.8262,22.0637,12.2586
15.6533,21.3402,5.1743,5.5268,35.7165,16.589
4.8118,22.7358,25.8276,23.5417,20.2633,2.8198
23.0678,14.5983,22.7388,14.2344,0.2487,25.1121
6.1598,32.2251,15.5528,8.384,6.5413,31.1369
11.8332,23.8979,36.4356,7.9019,4.6581,15.2733
25.3014,34.4242,5.9519,16.7105,10.1587,7.4534
8.6096,22.2155,2.5925,24.2653,23.2796,19.0375
12.9346,7.2637,40.1811,3.1231,20.7463,15.7512
4.4292,26.8391,6.0713,19.7368,24.3757,18.5479
5.0682,27.9998,7.6106,33.7582,2.926,22.6372
19.1713,15.0031,5.1626,7.875,22.8269,29.9611
28.5736,22.7589,7.2123,23.5954,9.1761,8.6837
30.9173,27.6292,11.0025,6.5885,4.1463,19.7163
28.2308,10.9542,20.1947,6.1553,10.9028,23.5622
15.8202,27.4616,26.1217,9.3917,0.9177,20.2871
36.9825,36.189,0.6292,6.4453,7.7588,11.9953
12.3308,3.172,14.2238,35.1149,4.7671,30.3914
2.121,2.3597,16.003,36.0598,8.0864,35.3701
1.4114,29.1009,18.5227,26.9407,15.7867,8.2375
19.6528,7.9383,17.0045,22.2376,21.302,11.8648
9.3943,30.9216,1.7792,35.1675,22.1059,0.6314
24.9933,23.7359,10.2347,29.7144,0.0756,11.2461
31.5536,11.9244,14.5925,26.1311,3.3318,12.4666
2.8455,30.8516,19.4165,10.1062,30.7879,5.9923
31.8286,16.9447,20.6467,11.4764,8.9343,10.1694
15.5311,24.5949,1.3268,16.6457,14.7234,27.1782
20.7547,18.4618,23.6883,9.9385,5.1288,22.028
25.588,28.7111,6.6194,14.7405,10.1636,14.1773
23.31,23.2286,20.421,10.8696,7.1832,14.9876
45.2456,11.0844,1.4599,6.347,7.7928,28.0703
18.3106,47.2512,10.6962,19.567,1.0996,3.0754
28.2437,23.6721,3.1443,26.6784,13.3632,4.8983
34.0156,4.1097,4.8697,29.4911,25.1264,2.3875
16.8178,11.718,24.0153,16.7253,17.8836,12.8401
0.1966,14.7526,11.375,21.0938,18.4427,34.1393
8.392,3.9827,27.2537,7.0965,41.0139,12.2612
7.3698,18.5722,23.9261,20.6817,16.1345,13.3157
23.4834,14.7862,21.81,3.5461,18.8752,17.4991
6.0823,36.5039,39.2574,8.5597,7.7021,1.8947
14.5562,23.784,19.5431,3.923,28.0733,10.1205
13.9088,11.0005,14.9161,17.132,18.0779,24.9646
22.7525,19.2889,20.9537,8.2562,7.6368,21.1118
29.2817,11.9985,7.626,8.0623,21.4587,21.5727
25.7193,15.6797,22.5559,28.8674,6.3964,0.7814
25.1752,8.3521,29.3055,22.8031,13.1896,1.1744
20.4467,9.3552,14.9307,26.0143,15.4961,13.757
7.7111,14.6226,23.4817,13.3233,20.3802,20.4811
48.8314,14.4437,9.0308,15.609,1.2207,10.8644
13.5781,15.9571,15.0291,19.8555,16.277,19.3033
0.8283,6.8593,11.2111,50.7795,17.4479,12.8739
3.9343,21.563,5.7982,28.6977,12.0287,27.9781
29.7324,21.2428,0.2238,7.3775,10.9969,30.4266
5.3086,24.9903,12.9095,20.8362,11.1538,24.8016
16.7874,8.7052,25.3885,20.865,21.1127,7.1412
8.9444,14.0699,23.401,5.1766,30.7884,17.6197
19.9106,17.8945,26.4657,9.9602,2.6601,23.1089
4.132,13.9089,14.5276,7.5775,31.2719,28.5822
21.6656,21.7412,17.8243,8.3996,7.2158,23.1536
2.447,20.5014,35.7483,32.0819,0.6943,8.5271
32.2897,3.862,51.3259,5.8023,1.3684,5.3516
24.0775,22.1335,14.5595,31.1109,2.2915,5.827
29.7524,11.4188,7.2435,6.9805,29.8405,14.7642
18.9494,6.8245,7.8599,20.8309,27.2941,18.2413
0.1177,16.5983,13.6258,25.8744,27.947,15.8368
11.018,17.3773,25.0911,8.8055,16.3085,21.3995
23.9814,7.849,15.0227,10.543,22.6068,19.9971
25.8505,24.5293,6.4791,16.6297,2.8852,23.6262
7.9198,20.6583,20.4618,9.373,16.5961,24.991
14.1618,12.1735,19.2789,19.3556,24.3556,10.6746
21.3157,29.4928,18.5019,7.7827,0.1801,22.7268
25.4154,17.3847,21.7868,25.8206,9.1015,0.491
6.2971,15.47,14.1725,8.4177,28.0401,27.6026
3.4878,6.3092,23.9785,4.8711,28.6319,32.7214
12.612,7.2753,17.3199,32.4047,24.2826,6.1055
